IT#WIKIDATA#Q1462905	comune$NOM francese$ADJ
IT#WIKI#Kim_Rhodes	nascere$VER:pper dal$PRE:det genitore$NOM Jane$NOM e$CON Frank$NPR Rhodes$NOM frequentare$VER:remo il$DET:def Southern$NPR Oregon$NPR State$NOM college$NOM e$CON ottenere$VER:remo il$DET:def BFA$NOM e$CON successivamente$ADV il$DET:def laurea$NOM in$PRE recitazione;$NOM in$PRE seguito$NOM ottenere$VER:remo il$DET:def MFA$NOM al$PRE:det Temple$NOM University.$ABR
IT#WIKIDATA#Q1362565	comune$NOM francese$ADJ
IT#WIKIDATA#Q1647583	comune$NOM spagnolo$ADJ
IT#WIKIDATA#Q336474	militare$NOM inglese$ADJ
IT#WIKIDATA#Q1934401	Album$NOM del$PRE:det @card@$NUM del$PRE:det Dead$NOM can$NOM Dance$NOM
IT#WIKI#Prestosuchus	il$DET:def prestosuco$NOM essere$VER:pres un$DET:indef rettile$ADJ arcosauro$NOM estinto,$NOM vissuto$ADJ all'inizio$NOM del$PRE:det Triassico$NOM superiore.$ABR
IT#WIKI#Brazen_Abbot	il$DET:def Brazen$NOM Abbot$NOM essere|sonare$VER:pres un$DET:indef gruppo$NOM heavy$ADJ metal$NOM finlandese$ADJ fondare$VER:pper nel$PRE:det @card@$NUM dal$PRE:det chitarrista$NOM Nikolo$ABR Kotzev.$ABR
IT#WIKI#Divisione_(organizzazione_aziendale)	in$PRE organizzazione$NOM aziendale$ADJ una$DET:indef divisione$NOM identificare$VER:pres un'unità$NOM organizzativo$ADJ di$PRE un'impresa$NOM preporre$VER:pper al$PRE:det gestione$NOM di$PRE un$DET:indef particolare$ADJ business.$NOM
IT#WIKIDATA#Q420901	minerale$NOM
IT#WIKI#1440_Rostia	@card@$NUM Rostia$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Alatau_chirghiso	L'Alatau$NOM chirghiso$ADJ essere$VER:pres una$DET:indef catena$NOM montuoso$ADJ che$PRO:rela si$PRO:refl trovare$VER:pres nel$PRE:det parte$NOM settentrionale$ADJ del$PRE:det sistema$NOM del$PRE:det Tien$NOM Shan.$ABR
IT#WIKI#3849_Incidentia	@card@$NUM Incidentia$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Banloc	Banloc$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det Romania$NPR di$PRE @card@$NUM abitanti,$NOM ubicare$VER:pper nel$PRE:det distretto$NOM di$PRE Timiş,$NOM nel$PRE:det regione$NOM storico$ADJ del$PRE:det Banato.$NOM
IT#WIKIDATA#Q60318	Scrittore,$NOM poeta$NOM e$CON giurista$NOM tedesco$ADJ
IT#WIKI#Pin_(Alta_Saona)	Pin$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Alta$VER:pres Saona$NOM nel$PRE:det regione$NOM del$PRE:det Franca$NOM Contea.$ABR
IT#WIKI#Idrossido_di_stronzio	il$DET:def idrossido$NOM di$PRE stronzio$NOM essere$VER:pres il$DET:def prodotto$NOM di$PRE idratazione$NOM dell'ossido$NOM di$PRE stronzio.$NOM
IT#WIKIDATA#Q156379	politico$ADJ russo$NOM
IT#WIKI#Lucio_Postumio_Albino_(console_234_a.C.)	essere$VER:remo eleggere$VER:pper console$NOM romano$ADJ nel$PRE:det @card@$NUM a.C.,$NOM quando$CON combatté$NOM contro$PRE il$DET:def Liguri,$NOM vincendoli.$ABR
IT#WIKI#Malattia_da_reflusso_gastroesofageo	il$DET:def malattia$NOM da$PRE reflusso$NOM gastroesofageo,$NOM spesso$ADV abbreviare$VER:pper come$PRE MRGE,$NOM essere$VER:pres una$DET:indef malattia$NOM di$PRE interesse$NOM gastroenterologico$ADJ che$PRO:rela venire$VER:pres causare$VER:pper dal$PRE:det reflusso$NOM nell'esofago$ADJ del$PRE:det contenuto$NOM del$PRE:det stomaco.$NOM
IT#WIKIDATA#Q242692	comune$NOM italiano$ADJ
IT#WIKI#Saint-Maurice-aux-Forges	Saint-Maurice-aux-Forges$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Meurthe$NOM e$CON Mosella$NOM nel$PRE:det regione$NOM del$PRE:det Lorena.$NOM
IT#WIKIDATA#Q263832	asteroide$NOM
IT#WIKIDATA#Q51596	comune$NOM cileno$ADJ
IT#WIKIDATA#Q388893	comune$NOM francese$ADJ
IT#WIKI#7720_Lepaute	@card@$NUM Lepaute$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKIDATA#Q376304	atleta$NOM britannico$ADJ
IT#WIKI#Metropolitana_di_Stoccolma	il$DET:def metropolitana$NOM di$PRE Stoccolma$NPR essere$VER:pres il$DET:def principale$ADJ sistema$NOM di$PRE trasporto$NOM pubblico$ADJ del$PRE:det capitale$ADJ svedese.$NOM
IT#WIKIDATA#Q1502623	asteroide$NOM
IT#WIKI#Aizuwakamatsu	Aizuwakamatsu$NOM essere$VER:pres una$DET:indef città$NOM giapponese$ADJ del$PRE:det prefettura$NOM di$PRE Fukushima.$NOM
IT#WIKI#Königsdorf_(Austria)	Königsdorf$NOM essere$VER:pres un$DET:indef comune$NOM austriaco$ADJ di$PRE @card@$NUM abitanti,$NOM situare$VER:pper nel$PRE:det Burgenland.$ABR
IT#WIKI#Architectural_Association_School_of_Architecture	L'Architectural$VER:remo Association$NOM school$NOM of$NPR Architecture$NOM di$PRE Londra$NPR essere$VER:pres una$DET:indef del$PRE:det principale$ADJ scuola$NOM di$PRE architettura$NOM del$PRE:det regno$NOM Unito.$ABR
IT#WIKIDATA#Q557910	allenatore$NOM di$PRE pallacanestro$NOM statunitense$ADJ
IT#WIKIDATA#Q312851	scrittore$NOM e$CON fotografo$NOM statunitense$ADJ
IT#WIKI#Valle_de_Losa	valle$NOM de$NPR Losa$NOM essere$VER:pres un$DET:indef comune$NOM spagnolo$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det comunità$NOM autonomo$ADJ di$PRE Castiglia$NOM e$CON León.$NOM
IT#WIKI#Anostomidae	il$DET:def famiglia$NOM Anostomidae$NOM comprendere$VER:pres numeroso$ADJ specie$ADV di$PRE pesce$NOM d'acqua$VER:pres dolce,$NOM appartenere$VER:ppre all'ordine$VER:impe Characiformes$NOM Questi$VER:remo pesce$NOM essere|sonare$VER:pres diffondere$VER:pper nel$PRE:det isola$NOM caraibiche$ADJ e$CON nel$PRE:det continente$ADJ sudamericano,$NOM fare$VER:pper eccezione$NOM per$PRE il$DET:def cordigliera$NOM del$PRE:det Ande$NOM e$CON per$PRE il$DET:def terra$NOM del$PRE:det Fuoco.$NOM
IT#WIKI#Intensità_acustica	L'intensità$NOM acustico$ADJ essere$VER:pres una$DET:indef grandezza$NOM fisico$ADJ definire$VER:pper come$PRE il$DET:def rapporto$NOM tra$PRE il$DET:def potenza$NOM di$PRE un'onda$VER:infi sonoro$ADJ e$CON l'area$ADJ del$PRE:det superficie$NOM che$PRO:rela da$PRE essa$PRO:pers venire$VER:pres attraversata;$NOM oppure$CON come$PRE l'energia$VER:infi che$PRO:rela nell'unità$NOM di$PRE tempo$NOM attraversare$VER:pres l'unità$VER:infi di$PRE superficie$NOM porre$VER:pper in$PRE un$DET:indef punto$NOM perpendicolarmente$ADJ al$PRE:det direzione$NOM di$PRE propagazione$NOM del$PRE:det suono.$NOM
IT#WIKI#Aunat	Aunat$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Aude$ADJ nel$PRE:det regione$NOM del$PRE:det Linguadoca-Rossiglione.$NOM
IT#WIKI#Barili_(Cebu)	barile$NOM essere$VER:pres una$DET:indef municipalità$NOM di$PRE terza|terzo$NOM classe$NOM del$PRE:det Filippine,$NOM situare$VER:pper nel$PRE:det provincia$NOM di$PRE Cebu,$NOM nel$PRE:det regione$NOM del$PRE:det Visayas$NOM Centrale.$ABR
IT#WIKI#Albero_(grafo)	in$PRE teoria$NOM del$PRE:det grafo$NOM un$DET:indef albero$NOM essere$VER:pres un$DET:indef grafo$NOM non$ADV orientare$VER:pper nel$PRE:det quale$ADJ due$ADJ vertice$NOM qualsiasi$ADJ essere|sonare$VER:pres connettere$VER:pper da$PRE uno$NOM e$CON un$DET:indef solo$ADJ cammino.$NOM
IT#WIKIDATA#Q31586	comune$NOM tedesco$ADJ
IT#WIKIDATA#Q651077	comune$NOM brasiliano$ADJ
IT#WIKI#Preprocessore	in$PRE informatica,$VER:infi un$DET:indef preprocessore$NOM o$CON precompilatore$NOM essere$VER:pres un$DET:indef programma$NOM che$PRO:rela effettuare$VER:pres sostituzione$NOM testuale$ADJ sul$PRE:det codice$NOM sorgere$VER:ppre di$PRE un$DET:indef programma,$NOM ovvero$CON il$DET:def preprocessing.$NOM
IT#WIKIDATA#Q6014	città$NOM russo$ADJ
IT#WIKI#Metodo_Billings	il$DET:def metodo$NOM dell'ovulazione$NOM Billings$NOM essere$VER:pres un$DET:indef metodo$NOM naturale$ADJ di$PRE regolazione$NOM del$PRE:det fertilità,$NOM usare$VER:pper dal$PRE:det donna$NOM -$PON anche$ADV se$CON essere$VER:pres consigliare$VER:pper l'aiuto$VER:pper del$PRE:det partner$NOM -$PON per$PRE monitorare$VER:infi il$DET:def proprio$ADJ fertilità,$NOM identificare$VER:geru il$DET:def giorno$NOM fertile$ADJ e$CON quello$PRO:demo infertili$VER:impe durante$PRE ogni$ADJ ciclo$NOM mestruale.$NOM
IT#WIKI#Vulpes	Vulpes$NOM essere$VER:pres un$DET:indef genere$NOM del$PRE:det famiglia$NOM del$PRE:det Canidi.$NOM
IT#WIKIDATA#Q551354	attore$NOM statunitense$ADJ
IT#WIKI#3522_Becker	@card@$NUM Becker$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale$ADJ del$PRE:det diametro$NOM medio$ADJ di$PRE circa$ADV @card@$NUM km.$NOM
IT#WIKIDATA#Q1539850	gruppo$NOM musicale$ADJ statunitense$ADJ
IT#WIKI#Alex_Borstein	essere$VER:pres conoscere$VER:pper anche$ADV per$PRE essere$VER:infi il$DET:def doppiatore$NOM di$PRE Lois$NOM Griffin$NOM nel$PRE:det serie$NOM animare$VER:pper il$DET:def Griffin$NOM e$CON per$PRE essere$VER:infi nel$PRE:det cast$NOM del$PRE:det skecth$NOM show$NOM MADtv.$ABR
IT#WIKIDATA#Q24773	comune$NOM francese$ADJ nel$PRE:det dipartimento$NOM del$PRE:det Charente$NOM Marittima$NOM
IT#OMWIKI#526272	un$DET:indef posto$NOM collocare$VER:pper sul$PRE:det schiena$NOM di$PRE un$DET:indef cavallo$NOM o$CON altro$PRO:indef animale.$NOM
IT#WIKI#Blanca_Fernández_Ochoa	essere$VER:pres sorella$ADJ di$PRE Francisco,$NOM Juan$NPR Manuel,$NOM Luis$NPR e$CON Dolores,$NOM tutto$ADJ sciatorio$ADJ alpino$NOM di$PRE alto$ADJ livello.$NOM
IT#WIKIDATA#Q676663	comune$NOM austriaco$ADJ
IT#WIKI#Aspalathus_linearis	L'Aspalathus$VER:remo linearis,$NOM in$PRE inglese$ADJ red$NOM bush,$NOM conoscere$VER:pper in$PRE afrikaans$NOM come$PRE rooibos$NOM essere$VER:pres una$DET:indef pianta$NOM appartenere$VER:ppre al$PRE:det famiglia$NOM del$PRE:det leguminose$NOM e$CON il$DET:def suo$PRO:poss foglia$NOM essere|sonare$VER:pres usare$VER:pper per$PRE preparare$VER:infi un'infusione$NOM chiamare$VER:pper rooibos,$NOM Red$NOM Bush$NPR o$CON anche$ADV tè$NOM rosso$ADJ africano.$NOM
IT#WIKI#Kröpelin	Kröpelin$NOM essere$VER:pres una$DET:indef cittadino$NOM tedesco$ADJ di$PRE @card@$NUM abitante$NOM nel$PRE:det circondario$NOM Bad$NOM Doberan,$NOM nel$PRE:det Land$NPR Meclemburgo-Pomerania$NPR Anteriore.$ABR
IT#WIKI#Nave_ausiliaria	il$DET:def nave$NOM ausiliario$ADJ essere$VER:pres una$DET:indef unità$NOM navale$ADJ militare$ADJ progettare$VER:pper per$PRE svolgere$VER:infi uno$ADJ o$CON più$ADV compire$VER:pper di$PRE supporto$NOM sia$CON al$PRE:det nave$NOM da$PRE guerra$NOM sia$CON nel$PRE:det operazione$NOM navale$ADJ in$PRE generale.$NOM
IT#WIKI#Simon_Baker	nascere$VER:pper in$PRE Tasmania,$NOM essere$VER:pres figlio$NOM di$PRE una$DET:indef insegnante$NOM di$PRE inglese,$NOM Elizabeth$NPR Labberton$NOM e$CON di$PRE un$DET:indef meccanico,$NOM Barry$NPR Baker.$ABR
IT#WIKI#Polena	una$DET:indef polena$NOM essere$VER:pres una$DET:indef decorazione$NOM lignea,$ADJ spesso$ADV figura$NOM femminile$ADJ o$CON di$PRE animale,$NOM che$PRO:rela si$PRO:refl trovare$VER:impf sul$PRE:det prua$NOM del$PRE:det nave$NOM dal$PRE:det XVI$NUM al$PRE:det XIX$NUM secolo.$NOM
IT#WIKI#Peel	Peel$NOM essere$VER:pres una$DET:indef del$PRE:det nove$ADJ regione$NOM dell'Australia$NOM Occidentale,$NOM situare$VER:pper sul$PRE:det costa$NOM occidentale$ADJ circa$PRE @card@$NUM chilometro$NOM a$PRE sud$NOM del$PRE:det capitale$NOM Perth.$ABR
IT#WIKI#Il_lungo_viaggio_verso_la_notte	il$DET:def lungo$ADJ viaggio$NOM verso$PRE il$DET:def notte$NOM essere$VER:pres un$DET:indef film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Sidney$NOM Lumet,$NOM tratto$NOM da$PRE una$DET:indef pièce$NOM teatrale$ADJ di$PRE Eugene$NPR O'Neill,$NOM adattare$VER:pper per$PRE il$DET:def cinema$NOM dal$PRE:det stesso$ADJ autore.$NOM
IT#WIKIDATA#Q214785	decennio$NOM
IT#WIKI#Grignoncourt	Grignoncourt$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Vosgi$NOM nel$PRE:det regione$NOM del$PRE:det Lorena.$NOM
IT#WIKIDATA#Q1366657	specie$ADV di$PRE animale$NOM del$PRE:det famiglia$NOM Porpitidae$NOM
IT#WIKIDATA#Q832497	torneo$NOM di$PRE tennis$NOM
IT#WIKI#AGM-78_Standard_ARM	il$DET:def AGM-78$NOM standard$NOM ARM$NOM essere$VER:pres un$DET:indef missile$ADJ antiradar.$NOM
IT#WIKIDATA#Q753	elemento$NOM chimico$ADJ con$PRE numero$NOM atomico$ADJ @card@$NUM
IT#WIKI#Lavausseau	Lavausseau$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Vienne$NOM nel$PRE:det regione$NOM di$PRE Poitou-Charentes.$NOM
IT#WIKIDATA#Q2572414	campionato$NOM di$PRE calcio$NOM ceco$ADJ
IT#WIKIDATA#Q1164101	comune$NOM francese$ADJ
IT#WIKI#Renault_Trucks	Renault$NPR Trucks$NOM essere$VER:pres un$DET:indef fabbricante$NOM di$PRE autocarro$NOM francesi.$ABR
IT#WIKIDATA#Q466781	film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Alan$NPR J.$NOM Pakula$NOM
IT#WIKI#Il_tesoro_della_Sierra_Madre	il$DET:def tesoro$NOM del$PRE:det sierra$NOM madre$NOM essere$VER:pres un$DET:indef film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE John$NPR Huston.$ABR
IT#WIKI#Castiraga_Vidardo	Castiraga$VER:impe Vidardo$NOM essere$VER:pres un$DET:indef comune$NOM italiano$ADJ di$PRE @card@$NUM abitante$NOM del$PRE:det provincia$NOM di$PRE lode|lodo$NOM in$PRE Lombardia.$NOM
IT#WIKIDATA#Q1038090	genere$NOM di$PRE animale$NOM del$PRE:det famiglia$NOM Homalodotheriidae$NOM
IT#WIKI#6696_Eubanks	@card@$NUM Eubanks$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKIDATA#Q457112	partecipazione$NOM al$PRE:det olimpiade$NOM del$PRE:det @card@$NUM
IT#WIKI#Nils_Middelboe	Middelboe$NOM segnare$VER:remo il$DET:def primo$ADJ gol$NOM nel$PRE:det storia$NOM del$PRE:det nazionale$NOM danese$ADJ di$PRE calcio,$NOM nel$PRE:det 1908;$NOM questo$PRO:demo rete$NOM essere$VER:remo anche$ADV il$DET:def primo$ADJ ad$PRE essere$VER:infi segnare$VER:pper in$PRE una$DET:indef partita$NOM di$PRE calcio$NOM al$PRE:det Olimpiadi.$NOM
IT#WIKIDATA#Q1082029	singolo$ADJ del$PRE:det green$NOM day$NOM del$PRE:det @card@$NUM
IT#WIKIDATA#Q1611897	comune$NOM francese$ADJ
IT#WIKI#Geografia_del_Pakistan	il$DET:def Pakistan$NPR essere$VER:pres uno$DET:indef stato$NOM che$PRO:rela confinare$VER:pres a$PRE ovest$NOM con$PRE l'Iran,$NOM a$PRE nord-ovest$NOM con$PRE l'Afghanistan,$NOM a$PRE nord-est$NOM con$PRE il$DET:def Cina$NPR e$CON a$PRE sud-est$NOM con$PRE l'Unione$NOM Indiana.$ABR
IT#WIKIDATA#Q46743	comune$NOM italiano$ADJ
IT#WIKIDATA#Q355696	calciatore$NOM e$CON commentatore$NOM sportivo$ADJ televisivo$ADJ italiano$ADJ
IT#WIKI#MPEG-4	in$PRE elettronica$NOM e$CON telecomunicazione$NOM MPEG-4,$NOM nascere$VER:pper nel$PRE:det @card@$NUM e$CON finalizzare$VER:pper nel$PRE:det @card@$NUM essere$VER:pres il$DET:def nome$NOM dare$VER:pper a$PRE un$DET:indef insieme$ADV di$PRE standard$NOM per$PRE il$DET:def codifica$NOM dell'audio$ADJ e$CON del$PRE:det video$NOM digitale$ADJ sviluppato$ADJ dall'ISO/IEC$NOM Moving$NOM Picture$NOM Experts$NOM Group.$ABR
IT#WIKI#Slavonski_Šamac	Slavonski$VER:impe Šamac$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det Croazia$NPR di$PRE @card@$NUM abitante$NOM del$PRE:det regione$NOM di$PRE Brod$NOM e$CON del$PRE:det Posavina.$NOM
IT#WIKIDATA#Q147927	partecipazione$NOM al$PRE:det olimpiade$NOM del$PRE:det @card@$NUM
IT#WIKIDATA#Q665760	comune$NOM francese$ADJ
IT#WIKI#Emilie_Snethlage	dopo$ADV essere$VER:infi laureare$VER:pper con$PRE un$DET:indef dottorato$NOM in$PRE filosofia$NOM Naturale,$NOM ottenere$VER:remo un$DET:indef posto$NOM come$PRE assistente$NOM al$PRE:det Museum$NPR für$VER:impe Naturkunde$NOM di$PRE Berlino:$NOM nel$PRE:det @card@$NUM partire$VER:remo per$PRE il$DET:def Brasile,$NOM dove$PRO:rela incontrare$VER:remo Emil$NOM Goeldi,$NOM il$DET:def quale$PRO:rela le$PRO:pers offrire$VER:remo un$DET:indef porre$VER:pper al$PRE:det locale$ADJ museo$NOM di$PRE storia$NOM naturale$ADJ di$PRE Belém.$NOM
IT#WIKI#Leominster_(Regno_Unito)	Leominster$NOM essere$VER:pres un$DET:indef paese$NOM di$PRE @card@$NUM abitante$NOM del$PRE:det contea$NOM dell'Herefordshire,$NOM in$PRE Inghilterra.$NOM
IT#WIKI#Levainville	Levainville$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM dell'Eure-et-Loir$VER:infi nel$PRE:det regione$NOM del$PRE:det Centro.$NOM
IT#WIKI#Euphorbia_amygdaloides	il$DET:def euforbia$NOM del$PRE:det faggeta$NOM essere$VER:pres una$DET:indef pianto$ADJ suffruticosa,$NOM appartenere$VER:ppre al$PRE:det famiglia$NOM del$PRE:det Euphorbiaceae.$NOM
IT#WIKI#Fontenailles_(Yonne)	Fontenailles$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Yonne$NOM nel$PRE:det regione$NOM del$PRE:det Borgogna.$NOM
IT#WIKI#Levanjska_Varoš	Levanjska$NOM Varoš$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det Croazia$NPR di$PRE @card@$NUM abitante$NOM del$PRE:det regione$NOM di$PRE Osijek$NOM e$CON del$PRE:det Baranja.$NOM
IT#WIKI#Regione_Meridionale	il$DET:def regione$NOM meridionale$NOM essere$VER:pres una$DET:indef del$PRE:det tre$ADJ regione$NOM del$PRE:det Malawi.$NOM
IT#WIKIDATA#Q62794	Zoologo$NOM polacco$ADJ
IT#WIKI#Armsel_Striker	L'Armsel$VER:remo Striker$NOM essere$VER:pres un$DET:indef fucile$NOM a$PRE canna$NOM liscio$ADJ semiautomatico$ADJ calibro$NOM @card@$NUM progettare$VER:pper per$PRE il$DET:def controllo$NOM del$PRE:det rivolta$NOM e$CON per$PRE il$DET:def combattimento.$NOM
IT#WIKIDATA#Q22919	comune$NOM francese$ADJ
IT#WIKIDATA#Q878512	politico$ADJ statunitense$NOM
IT#WIKI#Oceano_Reico	L'Oceano$VER:remo Reico$ADJ essere$VER:impf un$DET:indef antico$ADJ oceano$NOM che$PRO:rela durante$PRE il$DET:def Paleozoico$NOM si$PRO:refl localizzare$VER:impf tra$PRE il$DET:def supercontinente$ADJ Gondwana$NOM a$PRE sud$NOM e$CON il$DET:def più$ADV piccolo$ADJ continente$NOM dell'emisfero$ADJ settentrionale.$NOM
IT#WIKI#Saint-Hippolyte_(Charente_Marittima)	Saint-Hippolyte$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Charente$NOM Marittima$NOM nel$PRE:det regione$NOM di$PRE Poitou-Charentes.$NOM
IT#WIKIDATA#Q1231345	politico$ADJ ruandese$NOM
IT#WIKI#Haeromys_pusillus	il$DET:def topo$NOM Ranee$NOM di$PRE Minahassa$NOM essere$VER:pres un$DET:indef roditore$ADJ del$PRE:det famiglia$NOM del$PRE:det Muridi$NOM endemico$ADJ dell'Isola$VER:pres di$PRE Sulawesi.$NOM
IT#WIKI#Heimdallr	Heimdallr$NOM essere$VER:pres uno$ADJ degli$DET:indef del$PRE:det del$PRE:det mitologia$NOM norrena.$ABR
IT#WIKI#Němčice_(Prachatice)	Němčice$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det repubblica$NOM ceca|ceco$NOM fare$VER:ppre parte$NOM del$PRE:det distretto$NOM di$PRE Prachatice,$NOM nel$PRE:det regione$NOM del$PRE:det Boemia$NOM meridionale.$NOM
IT#WIKI#Eolide	L'Eolide$NOM o$CON Eolia$NOM essere$VER:pres una$DET:indef regione$NOM storico$ADJ dell'Asia$NOM Minore,$NOM tra$PRE l'imbocco$VER:infi dell'Ellesponto$NOM e$CON il$DET:def foce$NOM dell'Ermo.$ABR
IT#WIKI#Megan_Burns	avere$VER:pres interpretare$VER:pper il$DET:def ruolo$NOM di$PRE Hannah$NOM nel$PRE:det film$NOM @card@$NUM giorno$NOM dopo.$NOM
IT#WIKI#Publio_Pomponio_Secondo	secondo$ADV essere$VER:remo amico$NOM intimo$ADJ di$PRE Plinio$NOM il$DET:def vecchio$ADJ e$CON gli$PRO:pers scrivere$VER:remo una$DET:indef biografia$NOM oggi$ADV non$ADV più$ADV esistente.$NOM
IT#WIKI#10822_Yasunori	@card@$NUM Yasunori$NOM essere$VER:pres un$DET:indef asteroide$NOM del$PRE:det fascia$NOM principale.$ABR
IT#WIKI#Surville_(Calvados)	Surville$NOM essere$VER:pres un$DET:indef comune$NOM francese$ADJ di$PRE @card@$NUM abitante$NOM situare$VER:pper nel$PRE:det dipartimento$NOM del$PRE:det Calvados$NOM nel$PRE:det regione$NOM del$PRE:det bassa$NOM Normandia.$ABR
IT#WIKIDATA#Q682856	Album$NOM del$PRE:det As$NOM il$DET:def Lay$NOM Dying$NOM del$PRE:det @card@$NUM
IT#WIKIDATA#Q342862	aviatore$NOM statunitense$ADJ
IT#WIKIDATA#Q244377	specie$ADV di$PRE animale$NOM del$PRE:det famiglia$NOM Elapidae$NOM
IT#WIKIDATA#Q490339	gruppo$NOM musicale$ADJ inglese$ADJ
IT#WIKI#Field_Museum	il$DET:def Field$NOM Museum$NPR of$NPR Natural$NOM History$NOM si$PRO:refl trovare$VER:pres a$PRE Chicago,$NOM Illinois,$NOM USA.$ABR
IT#WIKI#L'altra_faccia_del_pianeta_delle_scimmie	L'altra$VER:remo faccia$NOM del$PRE:det pianeta$NOM del$PRE:det scimmia$NOM essere$VER:pres un$DET:indef film$NOM del$PRE:det @card@$NUM diretto$ADJ da$PRE Ted$NOM Post.$ABR
IT#OMWIKI#761	un$DET:indef elemento$NOM chimico;$NOM uno$ADJ del$PRE:det più$ADV importante$ADJ metallo$NOM non$ADV ferrosi;$NOM un$DET:indef metallo$NOM duttile$ADJ e$CON malleabile$ADJ presente$ADJ in$PRE numeroso$ADJ minerale$NOM e$CON utilizzare$VER:pper nell'industria,$NOM nell'ingegneria$NOM e$CON nell'arte$NOM sia$CON puro$NOM che$PRO:rela in$PRE lega.$NOM
IT#WIKIDATA#Q233303	pilota$NOM automobilistico$ADJ italiano$ADJ
IT#WIKI#Punto_interrogativo	il$DET:def punto$NOM interrogativo,$NOM o$CON punto$NOM di$PRE domanda,$NOM essere$VER:pres un$DET:indef comune$ADJ segno$NOM tipografico$ADJ di$PRE punteggiatura;$NOM esso$PRO:pers essere$VER:pres graficamente$ADV formare$VER:pper da$PRE un$DET:indef ricciolo$NOM con$PRE avvolgimento$NOM antiorario$ADJ soprastare$VER:ppre verticalmente$ADV un$DET:indef punto:$NOM ?.$ABR
IT#WIKI#Kazuro_Watanabe	asteroide$NOM scoperti:$NOM @card@$NUM È$NOM membro$NOM del$PRE:det società$NOM astronomico$ADJ del$PRE:det Giappone$NPR e$CON autore,$NOM o$CON co-autore,$NOM di$PRE diverso$ADJ pubblicazione$NOM giapponesi.$NOM
IT#WIKI#Aleksej_Alekseevič_Troickij	pubblicare$VER:remo il$DET:def suo$PRO:poss primo$ADJ composizione$NOM in$PRE gennaio$NOM del$PRE:det @card@$NUM sul$PRE:det rivedere$VER:pper «Novoe$ADJ Vremija»,$NOM diretto$ADJ da$PRE Michail$NOM Čigorin.$ABR
IT#WIKIDATA#Q844205	comune$NOM spagnolo$ADJ
IT#WIKIDATA#Q64111	compositore$NOM e$CON regista$NOM cinematografico$ADJ tedesco$ADJ
IT#WIKI#Hjalmar_Söderberg	dopo$ADV avere$VER:infi compiere$VER:pper il$DET:def studio$NOM di$PRE Uppsala,$NOM si$PRO:pers stabilire$VER:remo a$PRE Copenaghen,$NOM esordire$VER:geru nel$PRE:det giornalismo.$NOM
IT#WIKI#Doboj_jug	Doboj$NOM jug$NOM essere$VER:pres un$DET:indef comune$NOM del$PRE:det federazione$NOM di$PRE Bosnia$NPR ed$CON Erzegovina$NPR situare$VER:pper nel$PRE:det cantone$NOM di$PRE Zenica-Doboj$NOM di$PRE @card@$NUM abitanti.$ABR
