FR#WIKIDATA#Q544	système$NOM planétaire$ADJ du$PRP:det Soleil$NAM
FR#WIKI#Cereceda_de_la_Sierra	Cereceda$NAM de$PRP le$DET:ART Sierra$NAM être$VER:pres un$DET:ART commune$NOM d’Espagne,$ADJ dans$PRP le$DET:ART province$NOM de$PRP Salamanque,$ABR communauté$NOM autonome$ADJ de$PRP Castille-et-León.$NAM
FR#WIKI#Polyplectron	Polyplectron$NOM être$VER:pres un$DET:ART genre$NOM d'oiseaux$ADJ de$PRP le$DET:ART famille$NOM des.$ADJ
FR#WIKIDATA#Q547257	commune$NOM allemand$ADJ
FR#WIKI#Amy_Pond	Amelia$NAM Jessica$NAM « Amy »$VER:pper Pond$NAM être$VER:pres un$DET:ART personnage$NOM de$PRP le$DET:ART série$NOM téléviser$VER:pper britannique$ADJ de$PRP science-fiction$NOM Doctor$NAM Who$NAM interpréter$VER:pper par$PRP Karen$NAM Gillan.$ABR
FR#WIKI#Balinghem	Balinghem$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Pas-de-Calais$NAM et$KON le$DET:ART région$NOM Nord-Pas-de-Calais.$ABR
FR#WIKI#William_James_Pirrie	Lord$NAM William$NAM James$NAM Pirrie,$ABR vicomte$NOM Pirrie,$NAM être$VER:pres un$DET:ART homme$NOM d'affaires$ADJ irlandais.$ADJ
FR#WIKI#Langy	Langy$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP l'Allier$NOM et$KON le$DET:ART région$NOM Auvergne.$ABR
FR#WIKI#Predrag_Bjelac	Predrag$NOM Bjelac,$ABR naître$VER:pper le$DET:ART @card@$NUM juin$NOM @card@$NUM à$PRP Belgrade,$NAM être$VER:pres un$DET:ART acteur$NOM serbe.$ADJ
FR#WIKIDATA#Q1418532	commune$NOM français$ADJ du$PRP:det département$NOM de$PRP Seine-et-Marne$NAM
FR#WIKIDATA#Q1061430	compétition$NOM de$PRP football$NOM
FR#WIKI#Robert_Nozick	Robert$NAM Nozick$NAM être$VER:pres un$DET:ART philosophe$NOM américain$ADJ professeur$NOM à$PRP Harvard,$ABR naître$VER:pper le$DET:ART à$PRP Brooklyn$NAM et$KON mort$NOM le.$ADJ
FR#WIKIDATA#Q415768	composé$NOM chimique$ADJ
FR#WIKI#Karl_Wilhelm_Borchardt	Karl$NAM Wilhelm$NAM Borchardt$NAM être$VER:impf un$DET:ART mathématicien$NOM allemand.$ADJ
FR#WIKIDATA#Q937586	ville$NOM du$PRP:det États-Unis$NAM
FR#WIKI#Échevannes_(Côte-d'Or)	Échevannes$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Côte-d'Or$NAM et$KON le$DET:ART région$NOM Bourgogne.$NAM
FR#WIKI#Millau	Millau$NAM être$VER:pres un$DET:ART commune$NOM français$ADJ de$PRP le$DET:ART région$NOM Midi-Pyrénées.$NAM
FR#WIKI#Yakuza_3	Yakuza$NOM @card@$NUM appelé$NOM au$PRP:det Japon,$NAM être$VER:pres un$DET:ART jeu$NOM vidéo$ADJ développer$VER:pper par$PRP CS1$ABR Team$NAM et$KON éditer$VER:pper par$PRP Sega,$ABR sortir$VER:pper en$PRP @card@$NUM sur$PRP le$DET:ART console$NOM PlayStation$NAM @ord@$ABR
FR#WIKI#Vareš	Vareš$NAM être$VER:pres un$DET:ART ville$NOM et$KON un$DET:ART municipalité$NOM de$PRP Bosnie-Herzégovine.$NAM
FR#WIKI#Ramallah	Ramallah$NAM être$VER:pres le$DET:ART capitale$NOM administratif$ADJ provisoire$ADJ de$PRP l'Autorité$NOM palestinienne,$ADJ situer$VER:pper dans$PRP le$DET:ART zone$NOM de$PRP colline$NOM du$PRP:det centre$NOM de$PRP le$DET:ART Cisjordanie,$ABR à$PRP environ$ADV @card@$NUM kilomètre$ABR au$PRP:det nord$NOM de$PRP Jérusalem.$NAM
FR#WIKIDATA#Q273108	chef$NOM d'une$NOM armer$VER:pper de$PRP mercenaire$NOM
FR#WIKIDATA#Q783351	acteur$NOM américain$ADJ
FR#WIKI#Kevin_Durant	Kevin$NAM Durant$NAM être$VER:pres un$DET:ART joueur$NOM américain$ADJ de$PRP basket-ball$NOM naître$VER:pper le$DET:ART @card@$NUM septembre$NOM @card@$NUM à$PRP Washington.$NAM
FR#WIKIDATA#Q943260	page$NOM de$PRP liste$NOM de$PRP Wikipédia$NAM
FR#WIKI#Air_Méditerranée	air$NOM Méditerranée$NAM être$VER:pres un$DET:ART compagnie$NOM aérien$ADJ français$ADJ charter$NOM fonder$VER:pper en$PRP @ord@$NAM
FR#WIKIDATA#Q809594	genre$NOM de$PRP mammifère$NOM
FR#WIKI#Arigis_Ier_de_Bénévent	Arigis$NAM de$PRP Bénévent$NAM être$VER:pres un$DET:ART duc$NOM lombard$ADJ de$PRP Bénévent,$ADJ neveu$NOM et$KON successeur$NOM du$PRP:det duc$NOM Zotton.$NAM
FR#WIKI#Tiberius_Sempronius_Gracchus_(consul_en_-215)	Tiberius$NAM Sempronius$NAM Gracchus$NAM être$VER:pres un$DET:ART général$ADJ romain,$ADJ maître$NOM de$PRP cavalerie$NOM sous$PRP le$DET:ART dictateur$NOM Junius$NAM Pera.$ABR
FR#WIKIDATA#Q1381121	politicien$NOM français$ADJ
FR#WIKIDATA#Q1267636	espèce$NOM d'animaux$ADJ
FR#WIKI#Tournoi_de_New_Haven_2010_(ATP)	résultat$NOM détailler$VER:pper de$PRP l'édition$NOM @card@$NUM du$PRP:det tournoi$NOM de$PRP tennis$NOM professionnel$ADJ masculin$ADJ de$PRP New$NAM Haven.$ABR
FR#WIKIDATA#Q1753127	commun$ADJ estonien$NOM
FR#WIKI#Études_de_Chopin	on$PRO:PER désigner$VER:pres couramment$ADV par$PRP étude$NOM de$PRP Chopin$NAM le$DET:ART deux$NUM cahier$NOM de$PRP douze$NUM étude$NOM pour$PRP le$DET:ART piano$NOM que$KON le$DET:ART compositeur$NOM polonais$ADJ publier$VER:simp dans$PRP le$DET:ART année$NOM @card@$NUM :$PUN le$DET:ART premier,$ADJ l'opus$NOM @card@$NUM dédier$VER:pper «$PUN:cit à$PRP son$DET:POS ami$NOM F.$NAM
FR#WIKIDATA#Q42737	district$NOM indien$ADJ
FR#WIKI#Erling_Skakke	Erling$NAM Skakke$NAM être$VER:pres un$DET:ART Jarl$NOM norvégien$ADJ du.$ADJ
FR#WIKI#Steve_Smith_(athlétisme)	Steve$NAM Smith$NAM être$VER:pres un$DET:ART athlète$NOM britannique$ADJ spécialiste$NOM du$PRP:det saut$NOM en$PRP hauteur.$NOM
FR#WIKI#Canton_de_Bains-les-Bains	le$DET:ART canton$NOM de$PRP Bains-les-Bains$NAM être$VER:pres un$DET:ART division$NOM administratif$ADJ française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Vosges$NAM et$KON le$DET:ART région$NOM Lorraine.$NAM
FR#WIKI#Ortillon	Ortillon$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP l'Aube$NOM et$KON le$DET:ART région$NOM Champagne-Ardenne.$ABR
FR#WIKI#Chris_Gunter	Christopher$NAM Ross$NAM Gunter$NAM être$VER:pres un$DET:ART footballeur$NOM gallois$ADJ naître$VER:pper le$DET:ART à$PRP Newport.$NAM
FR#WIKIDATA#Q441059	joueur$NOM de$PRP tennis$NOM belge$ADJ
FR#WIKIDATA#Q709461	peintre$NOM américain$ADJ
FR#WIKI#Los_Guájares	los$NOM Guájares$NAM être$VER:pres un$DET:ART municipalité$NOM d'Espagne$VER:pres de$PRP le$DET:ART province$NOM de$PRP Grenade,$ABR communauté$NOM autonome$ADJ d'Andalousie.$ADJ
FR#WIKI#América_Futebol_Clube_(Natal)	América$NAM Futebol$NAM Clube,$ABR communément$ADV appeler$VER:pper América,$NAM être$VER:pres un$DET:ART club$NOM brésilien$ADJ de$PRP Natal$NAM dans$PRP l'État$NOM du$PRP:det Rio$NAM Grande$NAM do$NOM Norte,$ABR fonder$VER:pper le$DET:ART @card@$NUM juillet,$NOM @ord@$ADJ
FR#WIKI#Équilibre_chimique	un$DET:ART système$NOM chimique$ADJ être$VER:pres à$PRP l'équilibre$NOM lorsque$KON le$DET:ART variable$ADJ intensif$ADJ qui$PRO:REL le$PRO:PER décrire$VER:pres être$VER:pres homogène$ADJ dans$PRP tout$PRO:IND le$DET:ART système$NOM et$KON rester$VER:pres constant$ADJ au$PRP:det cour|cours$NOM du$PRP:det temps.$ABR
FR#WIKI#Simple_dames_du_tournoi_de_Wimbledon_1971	ce$PRO:DEM article$NOM présenter$VER:pres le$DET:ART résultat$NOM détailler$VER:pper du$PRP:det Simple$NAM dame$NOM de$PRP l'édition$NOM @card@$NUM du$PRP:det tournoi$NOM de$PRP Wimbledon$NAM qui$PRO:REL être$VER:pres disputer$VER:pper du$PRP:det @card@$NUM juin$NOM au$PRP:det @card@$NUM juillet$NOM @ord@$ADJ
FR#WIKI#Ligue_démocratique_du_peuple_finlandais	le$DET:ART Ligue$NAM démocratique$ADJ du$PRP:det peuple$NOM finlandais$ADJ être$VER:impf un$DET:ART organisation$NOM politique$ADJ vouloir$VER:ppre unir$VER:infi le$DET:ART personne$NOM situer$VER:pper à$PRP le$DET:ART gauche$NOM du$PRP:det Parti$NAM social-démocrate.$ABR
FR#WIKI#Hudcovce	Hudcovce$NAM être$VER:pres un$DET:ART village$NOM de$PRP Slovaquie$NAM situer$VER:pper dans$PRP le$DET:ART région$NOM de$PRP Prešov.$NAM
FR#WIKI#Maïa_Plissetskaïa	maïa$NOM Mikhaïlovna$NAM Plissetskaïa$NAM être$VER:pres un$DET:ART danseur$NOM russe$ADJ considérer$VER:pper comme$ADV l'une$NOM du$PRP:det plus$ADV grand$ADJ ballerine$NOM russe$ADJ et$KON surnommer$VER:pper le$DET:ART «$PUN:cit Diva$NAM de$PRP le$DET:ART danse$NOM ».$ADJ
FR#WIKI#Cao_Zhen	Cao$NAM Zhen$NAM être$VER:pres un$DET:ART général$ADJ chinois$NOM de$PRP le$DET:ART fin$NOM de$PRP le$DET:ART dynastie$NOM du$PRP:det Han.$ABR
FR#WIKI#PKO_Bank_Polski	Powszechna$NAM Kasa$NAM Oszczędności$NAM Bank$NAM Polski$NAM Spółka$NAM Akcyjna,$NAM ou$KON PKO$NAM Bank$NAM Polski,$NAM ou$KON encore$ADV PKO$NAM BP,$NAM être$VER:pres le$DET:ART principal$ADJ banque$NOM de$PRP Pologne.$NAM
FR#WIKI#Hugues_de_Toscane	Hugues$NAM de$PRP Toscane,$NAM dire$VER:pres Huges$NAM le$DET:ART Grand,$NAM marquis$NOM de$PRP Toscane$NAM de$PRP @card@$NUM à$PRP son$DET:POS mort,$ADJ duc$NOM de$PRP Spolète,$ABR marquis$NOM de$PRP Camerino$NAM de$PRP @card@$NUM à$PRP @ord@$NAM
FR#WIKI#José_Patiño_Rosales	José$NAM Patiño$NAM Rosales,$ABR naître$VER:pper à$PRP Milan$NAM le$DET:ART et$KON mourir$VER:pper à$PRP le$DET:ART Granja$NOM le,$ADJ être$VER:pres un$DET:ART homme$NOM d'État$ADJ espagnol$ADJ durant$PRP le$DET:ART règne$NOM de$PRP Philippe$NAM V$NUM d'Espagne,$NOM secrétaire$NOM d'État$NOM de$PRP @card@$NUM à$PRP @ord@$NAM
FR#WIKI#Ignazio_Giunti	Ignazio$NAM Giunti$NAM être$VER:impf un$DET:ART pilote$NOM automobile$ADJ italien,$VER:simp naître$VER:pper le$DET:ART à$PRP Rome$NAM et$KON décéder$VER:pper le$DET:ART à$PRP Buenos$NAM Aires$NAM dans$PRP un$DET:ART accident$NOM survenir$VER:pper pendant$PRP l'épreuve$NOM du$PRP:det de$PRP Buenos$NAM Aires.$ABR
FR#WIKI#Turiasaurus	Turiasaurus$NAM riodevensis$NOM être$VER:pres un$DET:ART gigantesque$ADJ dinosaure$NOM herbivore,$ADJ appartenir$VER:ppre au$PRP:det sauropodes.$NOM
FR#WIKI#Canouan	Canouan$NAM être$VER:pres un$DET:ART île$NOM de$PRP l'archipel$NOM du$PRP:det grenadine$NOM appartenir$VER:ppre à$PRP Saint-Vincent-et-les-Grenadines.$NAM
FR#WIKIDATA#Q798671	groupe$NOM de$PRP musique$NOM américain$ADJ
FR#WIKI#Noah_Ngeny	Noah$NAM Kiprono$NAM Ngeny,$ABR naître$VER:pper le$DET:ART @card@$NUM novembre$NOM @card@$NUM à$PRP Eldoret$NAM dans$PRP le$DET:ART rift$NOM Valley,$NAM être$VER:pres un$DET:ART athlète$NOM kényan$ADJ pratiquer$VER:ppre le$DET:ART demi-fond.$NOM
FR#WIKI#Vol_77_American_Airlines	le$DET:ART vol$NOM @card@$NUM American$NOM Airlines$ADJ être$VER:impf un$DET:ART vol$NOM régulier$ADJ qui$PRO:REL effectuait,$NOM par$PRP un$DET:ART Boeing$NAM @card@$NUM le$DET:ART liaison$NOM entre$PRP Washington$NAM et$KON Los$NAM Angeles,$NAM en$PRP Californie.$NAM
FR#OMWIKI#761	élément$NOM chimique$ADJ avec$PRP le$DET:ART symbole$NOM Cu$ADJ et$KON le$DET:ART nombre$NOM atomique$ADJ 29;$ADJ un$NOM du$PRP:det métal$NOM non$ADV ferreux$ADJ le$DET:ART plus$ADV important$ADJ ;$PUN un$DET:ART métal$NOM ductile$ADJ et$KON malléable$ADJ trouver$VER:pper dans$PRP divers$ADJ minerai$NOM et$KON utiliser$VER:pper dans$PRP l'industrie,$ADJ l'ingénierie$NOM et$KON le$DET:ART art$NOM dans$PRP son$DET:POS forme$NOM pur$ADJ ou$KON sous$PRP forme$NOM d'alliage.$ADJ
FR#WIKI#Île_Éléphantine	L'île$NAM Éléphantine$NAM être$VER:pres un$DET:ART île$NOM d'Égypte$VER:subp situer$VER:pper sur$PRP le$DET:ART Nil,$NOM en$PRP face$NOM du$PRP:det centre-ville$NOM d'Assouan$ADJ dont$PRO:REL elle$PRO:PER faire$VER:pres partie.$VER:pper
FR#WIKIDATA#Q264402	commune$NOM tchèque$ADJ
FR#WIKI#Oudan	Oudan$NOM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Nièvre$NAM et$KON le$DET:ART région$NOM Bourgogne.$NAM
FR#WIKI#MPEG-4	MPEG-4,$NOM également$ADV appeler$VER:pper ISO/CEI$NAM @card@$NUM être$VER:pres un$DET:ART norme$NOM de$PRP codage$NOM d’objets$NOM audiovisuel$ADJ spécifier$VER:pper par$PRP le.$NOM
FR#WIKI#Mes_courants_électriques	mon$DET:POS courant$NOM électrique$ADJ être$VER:pres le$DET:ART deuxième$NUM album$NOM d'Alizée,$ADJ paraître$VER:pper en$PRP mars$NOM @ord@$ADJ
FR#WIKIDATA#Q61802	commune$NOM français$ADJ
FR#WIKI#Championnat_de_Nouvelle-Calédonie_de_football	le$DET:ART championnat$NOM de$PRP Nouvelle-Calédonie$NAM de$PRP football$NOM avoir$VER:pres être$VER:pper créer$VER:pper en$PRP @card@$NUM et$KON porter$VER:pres aujourd'hui$ADV le$DET:ART nom$NOM de$PRP Championnat$NAM de$PRP le$DET:ART Super$NAM Ligue$NAM ou$KON Division$NAM d'Honneur.$ABR
FR#WIKIDATA#Q850676	commune$NOM tchèque$ADJ
FR#WIKI#Glossaire	un$DET:ART glossaire$NOM être$VER:pres étymologiquement$ADV un$DET:ART recueil$NOM de$PRP gloses,$NOM c'est-à-dire$ADV de$PRP terme$NOM étranger$ADJ ou$KON rare$ADJ associer$VER:pper à$PRP leur$DET:POS définition$NOM et$KON centrer$VER:pper sur$PRP un$DET:ART domaine$NOM dont$PRO:REL il$PRO:PER détailler$VER:pres le$DET:ART terme$NOM technique$ADJ spécifiques,$ADJ comme,$NOM le$DET:ART glossaire$NOM d'informatique,$ADJ ou$KON le$DET:ART glossaire$NOM de$PRP médecine.$ABR
FR#WIKI#Aratos_de_Soles	Aratus$NAM ou$KON Aratos$NAM de$PRP Soles$NAM être$VER:pres un$DET:ART poète$NOM et$KON astronome$NOM grec$ADJ du$PRP:det Né$NAM à$PRP Soles$NAM en$PRP Cilicie,$NAM vers$PRP @card@$NUM il$PRO:PER être$VER:impf contemporain$ADJ de$PRP Théocrite$NAM et$KON mourir$VER:simp à$PRP Pella$NAM vers$PRP @card@$NUM
FR#WIKI#Gleizé	Gleizé$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Rhône$NAM et$KON le$DET:ART région$NOM Rhône-Alpes.$NAM
FR#WIKI#Walter_Lini	Walter$NAM Hadye$NAM Lini$NAM être$VER:pres un$DET:ART pasteur$NOM anglican$ADJ et$KON être$VER:pres considérer$VER:pper comme$ADV le$DET:ART père$NOM de$PRP l'indépendance$NOM de$PRP Vanuatu.$NAM
FR#WIKIDATA#Q10816	accessoire$NOM utiliser$VER:pper pour$PRP faciliter$VER:infi le$DET:ART plaisir$NOM sexuel$ADJ
FR#WIKIDATA#Q373739	commune$NOM de$PRP Slovaquie$NAM
FR#WIKI#Märzen	le$DET:ART Märzen,$ABR Märzenbier$NAM ou$KON Oktoberfestbier$NAM être$VER:pres un$DET:ART bière$NOM de$PRP saison$NOM allemand$ADJ de$PRP fermentation$NOM basse,$NOM au$PRP:det goût$NOM houblonner$VER:pper et$KON de$PRP couleur$NOM variable.$ADJ
FR#WIKI#Géographie_du_Pakistan	le$DET:ART Pakistan$NAM avoir$VER:pres un$DET:ART superficie$NOM de$PRP @card@$NUM @card@$NUM km²$NOM et$KON posséder$VER:pres du$PRP:det frontière$ADJ commune$NOM avec$PRP l'Iran$NOM au$PRP:det sud-ouest,$NOM l'Afghanistan$VER:pper à$PRP l'ouest$NOM et$KON au$PRP:det nord,$NOM le$DET:ART république$NOM populaire$ADJ de$PRP Chine,$NOM au$PRP:det nord-est$NOM et$KON l'Inde$VER:pres sur$PRP tout$PRO:IND son$DET:POS côté$NOM est.$ADJ
FR#WIKI#Ann_Scott	Ann$NAM Scott$NAM être$VER:pres un$DET:ART romancier$NOM française.$ADJ
FR#WIKIDATA#Q347180	guitariste$NOM américain$ADJ
FR#WIKIDATA#Q55327	commune$NOM du$PRP:det canton$NOM d'Is-sur-Tille$VER:subp (Arrondissement$NOM de$PRP Dijon,$ABR Côte$NAM d'Or,$ABR Bourgogne,$ABR France)$ABR
FR#WIKIDATA#Q136894	espèce$NOM de$PRP plante$NOM
FR#WIKI#Monaco	Monaco,$NOM en$PRP forme$NOM longue$ADJ le$DET:ART principauté$NOM de$PRP Monaco,$NAM en$PRP monégasque$ADJ et,$NOM être$VER:pres un$DET:ART pays$NOM d’Europe$NOM de$PRP l’Ouest$NOM ainsi$KON qu’une$NOM commun$ADJ du$PRP:det même$ADJ nom$NOM occuper$VER:ppre le$DET:ART même$ADJ superficie$NOM que$KON l’État$NOM lui-même.$ADJ
FR#WIKI#Hémothorax	un$DET:ART hémothorax$NOM être$VER:pres un$DET:ART épanchement$NOM de$PRP sang$NOM dans$PRP le$DET:ART cavité$NOM pleurale.$ADJ
FR#WIKI#Hjalmar_Söderberg	Hjalmar$NAM Emil$NAM Fredrik$NAM Söderberg,$ABR naître$VER:pper le$DET:ART @card@$NUM juillet$NOM @card@$NUM à$PRP Stockholm$NAM et$KON mort$NOM le$DET:ART @card@$NUM octobre$NOM @card@$NUM à$PRP Copenhague,$NAM être$VER:pres un$DET:ART romancier,$ADJ auteur$NOM dramatique,$ADJ poète$ADJ et$KON journaliste$NOM suédois.$ADJ
FR#WIKI#Souffrance	le$DET:ART souffrance,$NOM ou$KON le$DET:ART douleur$NOM au$PRP:det sen|sens$NOM large,$ADJ être$VER:pres un$DET:ART expérience$NOM de$PRP désagrément$NOM et$KON d'aversion$NOM lier$VER:pper à$PRP un$DET:ART dommage$NOM ou$KON à$PRP un$DET:ART menace$NOM de$PRP dommage$NOM chez$PRP l'individu.$ABR
FR#WIKIDATA#Q1105237	commune$NOM français$ADJ
FR#WIKI#Eta_Aquarii	Eta$NAM Aquarii$NAM être$VER:pres un$DET:ART étoile$NOM de$PRP le$DET:ART constellation$NOM du$PRP:det Verseau.$NAM
FR#WIKI#Bodo_(peuple)	le$DET:ART Bodo$NAM former$VER:pres un$DET:ART groupe$NOM ethnique$ADJ qui$PRO:REL vivre$VER:pres dans$PRP l'état$NOM de$PRP l'Assam$NOM en$PRP Inde.$NAM
FR#WIKI#Mamelon	le$DET:ART mamelon$NOM être$VER:pres le$DET:ART partie$NOM colorer$VER:pper situer$VER:pper au$PRP:det sommet$NOM du$PRP:det ballon$NOM d'un$ADJ sein.$VER:pres
FR#WIKI#Gustave_Flourens	Gustave$NAM Flourens$NAM être$VER:pres un$DET:ART universitaire$ADJ et$KON homme$NOM politique$ADJ français$ADJ naître$VER:pper en$PRP @card@$NUM à$PRP Paris$NAM et$KON tuer$VER:pper par$PRP le$DET:ART soldat$NOM versaillais$ADJ à$PRP Rueil-Malmaison$NOM en$PRP avril$NOM @ord@$ADJ
FR#WIKI#Finale_de_la_Coupe_du_monde_de_football_de_2006	le$DET:ART finale$NOM de$PRP le$DET:ART coupe$NOM du$PRP:det monde$NOM de$PRP football$NOM @card@$NUM opposer$VER:pres le$DET:ART France$NAM à$PRP l'Italie$NOM et$KON s'est$NOM dérouler$VER:pper le$DET:ART @card@$NUM juillet$NOM @card@$NUM à$PRP l'Olympiastadion$NOM à$PRP Berlin$NAM devant$PRP spectateurs.$NOM
FR#WIKIDATA#Q1008149	commune$NOM français$ADJ
FR#WIKIDATA#Q2191864	commune$NOM polonais$ADJ
FR#WIKI#Succisa_pratensis	le$DET:ART succise$NOM du$PRP:det pré$NOM ou$KON mors$NOM du$PRP:det diable,$NOM Succisa$VER:simp pratensis,$NOM être$VER:pres un$DET:ART espèce$NOM herbacé$ADJ de$PRP le$DET:ART famille$NOM du$PRP:det Dipsacacées$NAM qui$PRO:REL être$VER:pres un$NUM du$PRP:det principal$ADJ plante$NOM hôte$NOM de$PRP le$DET:ART chenille$NOM du$PRP:det damier$NOM de$PRP le$DET:ART succise.$NOM
FR#WIKIDATA#Q1008765	ville$NOM du$PRP:det Royaume-Uni$NAM
FR#WIKIDATA#Q147801	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKI#Sami_Kapanen	Sami$NAM Kapanen$NAM être$VER:pres un$DET:ART joueur$NOM professionnel$ADJ de$PRP hockey$NOM sur$PRP glace.$NOM
FR#WIKI#Takamatsu	Takamatsu$NAM être$VER:pres le$DET:ART capitale$NOM de$PRP le$DET:ART préfecture$NOM de$PRP Kagawa$NAM sur$PRP l'île$NOM de$PRP Shikoku$NAM au$PRP:det Japon.$NAM
FR#WIKI#Sténographie	le$DET:ART sténographie,$NOM ou$KON tachygraphie,$NOM être$VER:pres «$PUN:cit l'art$NOM de$PRP se$PRO:PER servir$VER:infi de$PRP signe$NOM conventionnel$ADJ pour$PRP écrire$VER:infi d’une$NOM manière$NOM aussi$ADV rapide$ADJ que$KON le$DET:ART parole$NOM ».$ADJ
FR#WIKI#Imbleville	Imbleville$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Seine-Maritime$NAM et$KON le$DET:ART région$NOM Haute-Normandie.$ABR
FR#WIKI#Mille-feuille	un$DET:ART mille-feuille$NOM ou$KON millefeuille$NOM être$VER:pres un$DET:ART pièce$NOM de$PRP pâtisserie$NOM faire$VER:pper de$PRP trois$NUM couche$NOM de$PRP pâte$NOM feuilleter$VER:pper et$KON deux$NUM couche$NOM de$PRP crème$NOM pâtissière.$ADJ
FR#WIKIDATA#Q679222	commune$NOM autrichien$ADJ
FR#WIKI#Lud	Lud$NAM être$VER:pres un$DET:ART roi$NOM légendaire$ADJ de$PRP l’île$NOM de$PRP Bretagne,$NAM dont$PRO:REL l’«$ADJ histoire$NOM »$PUN:cit être$VER:pres rapporter$VER:pper par$PRP Geoffroy$NAM de$PRP Monmouth$NAM dans$PRP son$DET:POS Historia$NAM regum$NOM Britanniae.$NAM
FR#WIKI#Bükkzsérc	Bükkzsérc$NAM être$VER:pres un$DET:ART village$NOM et$KON un$DET:ART commune$NOM du$PRP:det comitat$NOM de$PRP Borsod-Abaúj-Zemplén$NAM en$PRP Hongrie.$NAM
FR#WIKI#Oberschneiding	Oberschneiding$NAM être$VER:pres un$DET:ART commune$NOM de$PRP Bavière,$NOM situer$VER:pper dans$PRP l'arrondissement$NOM de$PRP Straubing-Bogen,$NAM dans$PRP le$DET:ART district$NOM de$PRP Basse-Bavière.$NAM
FR#WIKI#Potchinok	Potchinok$NOM être$VER:pres un$DET:ART ville$NOM de$PRP l'oblast$NOM de$PRP Smolensk,$ABR en$PRP Russie,$NOM et$KON le$DET:ART centre$NOM administratif$ADJ du$PRP:det raïon$NOM Potchinokski.$NAM
FR#WIKI#Abdanan	Abdanan$NAM être$VER:pres un$DET:ART ville$NOM situer$VER:pper dans$PRP le$DET:ART province$NOM d'Ilam$NOM en$PRP Iran.$NAM
FR#WIKI#Route_européenne_49	le$DET:ART route$NOM européen$ADJ @card@$NUM être$VER:pres un$DET:ART route$NOM relier$VER:ppre Magdeburg$NAM à$PRP Vienne.$NAM
FR#WIKI#Esclassan-Labastide	Esclassan-Labastide$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM du$PRP:det Gers$NAM et$KON le$DET:ART région$NOM Midi-Pyrénées.$NAM
FR#WIKI#Rat_à_queue_touffue	le$DET:ART rat$NOM à$PRP queue$NOM touffu$ADJ être$VER:pres un$DET:ART espèce$NOM de$PRP rongeur$NOM de$PRP le$DET:ART famille$NOM du$PRP:det muridés$NOM que$KON l'on$NOM trouver$VER:pres au$PRP:det Canada$NAM et$KON au$PRP:det sud$NOM du$PRP:det États-Unis.$NAM
FR#WIKIDATA#Q32452	acteur$NOM indien$ADJ
FR#WIKI#Necip_Uysal	Necip$NAM Uysal$NAM être$VER:pres un$DET:ART footballeur$NOM turc$ADJ naître$VER:pper le$DET:ART @card@$NUM janvier$NOM @card@$NUM à$PRP Istanbul$NAM en$PRP Turquie.$NAM
FR#WIKIDATA#Q37780	race$NOM de$PRP chien$NOM
FR#WIKI#Double_Vision_(Foreigner)	double$NOM Vision$NAM être$VER:pres le$DET:ART second$NUM album$NOM musical$ADJ du$PRP:det groupe$NOM Foreigner$NAM sortir$VER:pper en$PRP @ord@$NAM
FR#WIKIDATA#Q832497	tournoi$NOM de$PRP tennis$NOM
FR#WIKI#Thola	Thola$NAM être$VER:pres l'un$ADJ du$PRP:det juge$NOM mineur$ADJ du$PRP:det livre$NOM du$PRP:det Juges.$NAM
FR#WIKI#Arbre_(graphe)	en$PRP théorie$NOM du$PRP:det graphes,$NOM un$DET:ART arbre$NOM être$VER:pres un$DET:ART graphe$NOM non$ADV orienté,$NOM acyclique$ADJ et$KON connexe.$ADJ
FR#WIKIDATA#Q655928	astéroïde$NOM de$PRP le$DET:ART ceinture$NOM principal$ADJ d'astéroïdes$ADJ
FR#WIKIDATA#Q31296	année$NOM
FR#WIKI#Mametz_(Somme)	Mametz$NAM être$VER:pres un$DET:ART commune$NOM française,$ADJ situer$VER:pper dans$PRP le$DET:ART département$NOM de$PRP le$DET:ART Somme$NAM et$KON le$DET:ART région$NOM Picardie.$NAM
FR#WIKIDATA#Q614449	commune$NOM français$ADJ
